=== EXPORT DES PRIX BID/ASK ===
Date/Heure: 2026.04.13 14:01
Format: Symbole | Bid | Ask | Spread (pips)
--------------------------------------------------
EURUSD               | Bid: 1.16941      | Ask: 1.16943      | Spread: 2.0 pips
GBPUSD               | Bid: 1.34355      | Ask: 1.34359      | Spread: 4.0 pips
USDCHF               | Bid: 0.78997      | Ask: 0.79002      | Spread: 5.0 pips
USDJPY               | Bid: 159.684      | Ask: 159.688      | Spread: 4.0 pips
USDCAD               | Bid: 1.38405      | Ask: 1.38411      | Spread: 6.0 pips
AUDUSD               | Bid: 0.70509      | Ask: 0.70515      | Spread: 6.0 pips
AUDNZD               | Bid: 1.20893      | Ask: 1.20903      | Spread: 10.0 pips
AUDCAD               | Bid: 0.97583      | Ask: 0.97598      | Spread: 15.0 pips
AUDCHF               | Bid: 0.55699      | Ask: 0.55709      | Spread: 10.0 pips
AUDJPY               | Bid: 112.592      | Ask: 112.606      | Spread: 14.0 pips
XAUUSD               | Bid: 4721.20      | Ask: 4721.75      | Spread: 55.0 pips
DXY.cash             | Bid: 98.927       | Ask: 98.947       | Spread: 20.0 pips
CHFJPY               | Bid: 202.124      | Ask: 202.149      | Spread: 25.0 pips
EURGBP               | Bid: 0.87034      | Ask: 0.87043      | Spread: 9.0 pips
EURAUD               | Bid: 1.65838      | Ask: 1.65854      | Spread: 16.0 pips
EURCHF               | Bid: 0.92380      | Ask: 0.92387      | Spread: 7.0 pips
EURJPY               | Bid: 186.733      | Ask: 186.748      | Spread: 15.0 pips
EURNZD               | Bid: 2.00489      | Ask: 2.00513      | Spread: 24.0 pips
EURCAD               | Bid: 1.61839      | Ask: 1.61858      | Spread: 19.0 pips
GBPCHF               | Bid: 1.06134      | Ask: 1.06150      | Spread: 16.0 pips
GBPJPY               | Bid: 214.541      | Ask: 214.558      | Spread: 17.0 pips
CADCHF               | Bid: 0.57075      | Ask: 0.57086      | Spread: 11.0 pips
CADJPY               | Bid: 115.372      | Ask: 115.389      | Spread: 17.0 pips
GBPAUD               | Bid: 1.90537      | Ask: 1.90555      | Spread: 18.0 pips
GBPCAD               | Bid: 1.85942      | Ask: 1.85958      | Spread: 16.0 pips
GBPNZD               | Bid: 2.30349      | Ask: 2.30382      | Spread: 33.0 pips
NZDCAD               | Bid: 0.80714      | Ask: 0.80729      | Spread: 15.0 pips
NZDCHF               | Bid: 0.46069      | Ask: 0.46083      | Spread: 14.0 pips
NZDJPY               | Bid: 93.128       | Ask: 93.145       | Spread: 17.0 pips
NZDUSD               | Bid: 0.58321      | Ask: 0.58327      | Spread: 6.0 pips
GER40.cash           | Bid: 23595.01     | Ask: 23596.40     | Spread: 139.0 pips
UK100.cash           | Bid: 10562.80     | Ask: 10563.65     | Spread: 85.0 pips
US100.cash           | Bid: 25005.65     | Ask: 25007.55     | Spread: 190.0 pips
US30.cash            | Bid: 47738.01     | Ask: 47740.39     | Spread: 238.0 pips
US500.cash           | Bid: 6786.07      | Ask: 6786.63      | Spread: 56.0 pips
AUS200.cash          | Bid: 8963.20      | Ask: 8964.20      | Spread: 100.0 pips
EU50.cash            | Bid: 5872.07      | Ask: 5873.73      | Spread: 166.0 pips
FRA40.cash           | Bid: 8193.22      | Ask: 8194.83      | Spread: 161.0 pips
HK50.cash            | Bid: 25647.58     | Ask: 25657.42     | Spread: 984.0 pips
JP225.cash           | Bid: 56680.50     | Ask: 56690.50     | Spread: 1000.0 pips
SPN35.cash           | Bid: 17950.20     | Ask: 17955.60     | Spread: 540.0 pips
US2000.cash          | Bid: 2613.81      | Ask: 2615.13      | Spread: 132.0 pips
UKOIL.cash           | Bid: 103.675      | Ask: 103.749      | Spread: 74.0 pips
USOIL.cash           | Bid: 103.882      | Ask: 103.964      | Spread: 82.0 pips
N25.cash             | Bid: 1007.50      | Ask: 1008.10      | Spread: 60.0 pips
XAUEUR               | Bid: 4037.10      | Ask: 4037.83      | Spread: 73.0 pips
XAUAUD               | Bid: 6695.59      | Ask: 6696.48      | Spread: 89.0 pips
XAGAUD               | Bid: 105.394      | Ask: 105.482      | Spread: 88.0 pips
XAGEUR               | Bid: 63.544       | Ask: 63.606       | Spread: 62.0 pips
XAGUSD               | Bid: 74.316       | Ask: 74.377       | Spread: 61.0 pips
XPDUSD               | Bid: 1527.34      | Ask: 1536.91      | Spread: 957.0 pips
XPTUSD               | Bid: 2038.40      | Ask: 2043.60      | Spread: 520.0 pips
XCUUSD               | Bid: 585.09       | Ask: 585.73       | Spread: 64.0 pips
EURCZK               | Bid: 24.3717      | Ask: 24.3799      | Spread: 82.0 pips
EURHUF               | Bid: 366.961      | Ask: 367.162      | Spread: 201.0 pips
EURNOK               | Bid: 11.09857     | Ask: 11.10070     | Spread: 213.0 pips
EURPLN               | Bid: 4.25288      | Ask: 4.25387      | Spread: 99.0 pips
USDCZK               | Bid: 20.8415      | Ask: 20.8471      | Spread: 56.0 pips
USDHKD               | Bid: 7.83145      | Ask: 7.83211      | Spread: 66.0 pips
